4.460	4.730	speaker_1
5.660	6.170	speaker_0
6.940	7.930	speaker_1
9.100	10.810	speaker_0
11.180	12.250	speaker_1
14.300	14.890	speaker_0
15.340	16.965	speaker_1
16.965	19.370	speaker_0
20.140	22.010	speaker_0
22.380	24.330	speaker_0
25.660	27.450	speaker_0
28.620	28.810	speaker_1
29.180	30.730	speaker_1
32.620	33.210	speaker_0
34.220	38.090	speaker_1
39.260	39.610	speaker_0
42.380	42.650	speaker_1
44.460	44.810	speaker_1
49.340	50.010	speaker_0
51.260	56.410	speaker_0
68.700	69.450	speaker_0
73.100	73.370	speaker_0
73.980	74.170	speaker_1
96.460	99.770	speaker_1
101.500	102.810	speaker_0
103.660	104.730	speaker_1
105.740	106.410	speaker_0
106.860	108.010	speaker_0
108.700	113.450	speaker_0
114.300	116.810	speaker_0
118.060	118.810	speaker_0
119.100	120.970	speaker_0
121.580	124.090	speaker_0
124.860	130.090	speaker_0
131.420	134.650	speaker_0
135.980	142.170	speaker_0
144.220	145.050	speaker_0
145.740	150.010	speaker_0
151.180	154.090	speaker_0
154.380	156.650	speaker_0
157.180	158.810	speaker_0
159.100	162.170	speaker_0
163.180	164.410	speaker_0
165.100	166.975	speaker_1
166.475	167.130	speaker_0
169.180	170.570	speaker_0
171.100	176.730	speaker_0
177.500	181.210	speaker_1
181.740	185.290	speaker_1
187.580	190.890	speaker_0
191.180	193.290	speaker_0
195.100	199.610	speaker_0
200.940	206.170	speaker_0
207.660	210.570	speaker_0
211.020	213.850	speaker_0
214.620	219.930	speaker_0
220.460	221.930	speaker_0
223.020	225.370	speaker_0
223.395	223.645	speaker_1
227.020	229.610	speaker_1
230.380	239.755	speaker_1
239.505	243.930	speaker_0
245.740	252.970	speaker_0
253.420	257.850	speaker_0
258.860	260.330	speaker_0
261.500	266.890	speaker_0
267.580	269.370	speaker_0
269.660	270.570	speaker_0
271.020	273.850	speaker_0
274.860	277.530	speaker_0
279.660	282.810	speaker_1
283.260	284.010	speaker_1
284.300	285.290	speaker_1
285.900	289.930	speaker_0
290.940	293.770	speaker_0
295.500	315.690	speaker_1
315.980	318.970	speaker_1
319.980	320.730	speaker_1
322.060	323.050	speaker_0
325.100	328.970	speaker_0
329.420	332.250	speaker_0
330.045	330.545	speaker_1
333.020	333.895	speaker_1
333.895	334.645	speaker_0
334.395	335.050	speaker_1
335.820	336.410	speaker_1
338.140	339.930	speaker_0
340.780	341.770	speaker_0
342.620	349.210	speaker_1
351.660	355.690	speaker_1
356.220	357.930	speaker_1
358.700	361.530	speaker_0
363.020	364.810	speaker_0
365.340	367.210	speaker_0
368.700	369.930	speaker_0
370.540	372.970	speaker_0
374.060	375.850	speaker_0
376.220	379.370	speaker_0
380.060	380.490	speaker_0
381.420	386.970	speaker_1
388.620	391.370	speaker_0
392.620	393.995	speaker_1
393.745	394.970	speaker_0
395.900	397.930	speaker_0
398.380	399.450	speaker_0
400.060	402.490	speaker_0
403.020	408.570	speaker_0
410.300	412.090	speaker_1
413.900	414.650	speaker_0
415.420	419.930	speaker_0
422.460	423.585	speaker_1
423.335	425.050	speaker_0
425.340	429.130	speaker_0
429.980	432.010	speaker_1
432.700	440.730	speaker_0
441.740	452.890	speaker_1
453.180	455.555	speaker_1
455.305	456.970	speaker_0
458.140	460.570	speaker_0
460.860	466.330	speaker_0
